,total_sessions,total_session_seconds,total_calories
3291-36,2,8520,1312
1944-15,3,18000,2725
958-23,3,22020,2194
811-21,1,10200,1134
4923-8,2,9900,2799
1534-5,3,22380,3256
4431-23,3,14940,3635
410-12,1,7140,751
54-14,2,13740,1289
4797-7,3,18840,2776
1099-37,2,11040,907
2397-30,1,7320,454
975-18,4,29340,3977
4489-14,3,15000,2039
4650-18,2,8220,2082
2895-6,1,6360,737
3280-19,1,8160,556
4922-22,2,9660,2646
4840-12,4,22200,4037
2225-14,3,21780,2105
2559-8,1,9660,730
3691-41,1,9600,1636
139-4,2,7620,1017
3174-5,2,18420,2364
2521-28,1,9300,1192
4638-24,5,39780,3981
2242-3,3,15180,3323
3828-6,4,18120,3292
1338-32,2,18840,660
4090-18,5,25680,3829
2853-18,2,15300,1197
2295-29,2,15660,1402
2678-34,2,6540,1516
73-3,1,2100,667
2879-14,2,9480,2031
2142-41,2,13560,1377
4531-32,4,18900,2335
1807-12,1,5520,1373
2046-41,1,8280,627
3503-14,2,12120,2489
4553-38,1,5340,779
3502-37,3,19740,1713
2277-37,4,24600,3013
2078-41,2,16140,1073
1649-7,2,14160,1241
335-35,4,21720,3328
4756-1,5,29340,3442
4665-35,5,36780,4198
4273-26,3,21300,2480
2872-25,3,22020,1937
2616-16,5,25800,6107
4873-31,2,7200,981
4173-15,3,22620,2189
933-20,2,7740,1128
636-16,1,9540,672
3230-25,2,14640,1023
1191-6,1,10680,683
12-27,2,12780,1091
4003-17,2,11700,2589
4927-38,3,15960,2516
1450-33,2,17340,2563
449-25,1,9360,524
2497-22,3,23820,3508
427-20,1,5160,311
916-40,4,29160,2309
3170-17,2,11940,1305
4727-37,2,18120,2894
4322-16,4,24180,3733
447-8,1,6060,1196
1911-10,2,14940,2908
3736-41,2,11700,840
2251-12,2,10620,2576
4771-3,3,27900,3119
2682-23,2,7440,1710
1402-9,2,15120,2172
3408-9,3,19140,2587
1044-25,3,21720,3158
3019-9,3,22980,2811
392-26,2,12420,2284
4820-9,1,7200,974
1286-30,1,4620,1236
4110-9,2,13320,1876
2435-20,2,7140,1834
642-1,3,14340,3507
1046-29,3,16980,1864
4321-36,3,15840,4075
4038-6,1,6660,1495
3048-21,3,20820,3142
1158-14,4,31500,4167
3250-27,2,6360,1661
3628-15,1,9780,1069
1544-9,1,10380,1944
792-14,2,16440,2697
437-15,1,4020,1912
3515-11,2,17400,880
4677-12,2,13920,1658
4783-37,2,10260,1745
4461-18,3,17520,2783
3960-38,2,7920,1213
4365-9,4,27120,2792
1717-15,1,9300,633
3637-30,2,15540,1447
3365-33,2,15180,2083
4174-30,2,14160,2444
189-40,2,9060,742
2719-22,2,18360,866
2406-8,1,5340,556
3931-3,2,11940,1564
3166-2,1,5160,432
903-31,1,2580,857
341-26,1,9600,361
2882-37,3,16020,3499
4507-15,2,8040,1211
4994-3,1,6960,1132
644-39,2,9780,1491
21-41,4,25680,4356
3073-4,1,2820,1176
678-28,2,14940,1325
1100-30,1,9000,589
2651-23,4,20700,5106
3470-5,2,20400,1202
4184-36,5,31920,3709
2065-4,2,13800,1684
3401-27,3,17760,1606
2872-13,3,24240,2466
2431-24,3,15600,3066
2688-19,1,2040,1250
1417-20,4,26100,2453
4406-26,3,13740,2676
492-17,1,6660,643
760-17,4,23760,2298
3502-34,2,6060,1085
1-11,6,47760,5769
2089-25,2,14700,1435
3657-21,4,24780,2333
4768-6,2,14220,2371
212-28,6,19260,4826
3723-19,2,20220,951
3518-34,2,5700,1163
1966-16,2,10200,1766
304-24,2,12300,491
4787-17,1,6540,589
3773-28,4,31920,3607
1782-3,4,28320,3859
3226-31,3,22440,3663
4712-23,1,1860,1120
4619-25,1,5880,1759
2073-5,3,20280,2434
808-27,3,16260,3431
4121-34,3,17520,2073
1777-11,2,8220,3659
3191-14,2,9120,791
4043-40,2,14100,1238
4204-26,2,12060,2674
1354-22,3,21660,2490
180-4,3,23820,3527
881-1,2,8220,2016
